price,bd&ba,sqft,address
"135,000","2bd,2ba","1,576","206 Cooper Ave,, ,Sacramento, CA 95823"
"69,000","2bd,2ba","1,152","4208 Atrium Way #52,, ,Sacramento, CA 95834"
"490,000","6bd,2ba","1,975","7308 Berna Way,, ,Sacramento, CA 95823"
"999,999","3bd,3ba","3,039 (on 1.75 acres)","6030 Eagles Nest Rd,, ,Sacramento, CA 95830"
"674,900","4bd,2ba","1,742","1608 V St,, ,Sacramento, CA 95818"
"540,000","2bd,2ba","1,738","2742 San Marin Ln,, ,Sacramento, CA 95835"
"1,299,995","7bd,4ba","3,174","515 18th St,, ,Sacramento, CA 95811"
"399,900","4bd,2ba","1,336","3368 Gould Way,, ,Sacramento, CA 95827"
"500,990+","5bd,3ba","2,161","Moraga,, ,Antelope, CA 95843"
"1,250,000",,1 (on 3.25 acres),"6140 Lemon Hill Ave,, ,Sacramento, CA 95824"
"479,900","5bd,3ba","1,612","4337 76th St,, ,Sacramento, CA 95820"
"1,250,000","4bd,4ba","3,284","1300 T St,, ,Sacramento, CA 95811"
"665,000","3bd,3ba","2,464","2614 Mabry Dr,, ,Sacramento, CA 95835"
"349,000","2bd,1ba",983,"6025 Vista Ave,, ,Sacramento, CA 95824"
"599,000","2bd,1ba","1,074","2457 Donner Way,, ,Sacramento, CA 95818"
"749,950","5bd,3ba","2,954","2969 Myotis Dr,, ,Sacramento, CA 95834"
"879,900","5bd,4ba","3,427","9468 Vintage Port Way,, ,Sacramento, CA 95829"
"659,888","5bd,3ba","2,567","4100 Windsong St,, ,Sacramento, CA 95834"
"499,000","2bd,2ba","1,051","444 T St,, ,Sacramento, CA 95811"
"399,900","2bd,1ba",845,"4046 58th St,, ,Sacramento, CA 95820"
